Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
1,52008,96214.8127,0.0211,-2.5996,2,14.4424,21,10,,,,,,9,,,,,,CCCO,101,3.1132,2.9888,2.8129,2.5121,2.2115,1.9114,1.6121,10-9,true,,0.0,0.0,1,0.05766035503123046,,0.28281462,-10.0,5.8,-10.0,0.19051464729669115,,0.0,0.0,0.0,,0.0,-10.0,25.568,12.075475,-10.0,9.7,-10.0,0.0,0.029606030456213985,0.0,true
2,46005,78927.4431,0.0174,-6.0641,3,13.037,13,6,0,6,,,,5,1,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"6,0,6-5,1,5",true,,0.0,0.0,1,2.8400196685416637E-4,,0.28281462,-10.0,5.8,-10.0,9.433572813879998E-4,,0.0,0.0,0.0,,0.0,-10.0,31.168,12.287221,-10.0,9.7,-10.0,0.0,1.414761974850498E-4,0.0,true
3,46005,79408.6981,0.0154,-5.8207,3,11.2078,11,5,1,4,,,,5,0,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,1,4-5,0,5",true,,0.0,0.0,1,6.417695598780645E-4,,0.28281462,-10.0,5.8,-10.0,0.0021316701292362615,,0.0,0.0,0.0,,0.0,-10.0,30.98,12.287221,-10.0,9.7,-10.0,0.0,3.198866448767319E-4,0.0,true
4,46005,79543.3352,0.0403,-6.3711,3,134.8691,33,16,4,12,,,,17,3,15,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"16,4,12-17,3,15",true,,0.0,0.0,1,3.530826604492868E-12,,0.28281462,-10.0,5.8,-10.0,1.1729454229215342E-11,,0.0,0.0,0.0,,0.0,-10.0,30.927,12.287221,-10.0,9.7,-10.0,0.0,1.7601703074220545E-12,0.0,false
5,46005,81135.9166,0.0361,-6.2477,3,110.0498,33,16,2,14,,,,15,3,13,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"16,2,14-15,3,13",true,,0.0,0.0,1,1.6123295162308065E-10,,0.28281462,-10.0,5.8,-10.0,5.355744222892717E-10,,0.0,0.0,0.0,,0.0,-10.0,30.32,12.287221,-10.0,9.7,-10.0,0.0,8.051246369652238E-11,0.0,false
6,46005,82605.6251,0.0337,-6.6496,3,17.3624,11,5,2,3,,,,6,1,6,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,2,3-6,1,6",true,,0.0,0.0,1,3.741865859419736E-5,,0.28281462,-10.0,5.8,-10.0,1.242947219477571E-4,,0.0,0.0,0.0,,0.0,-10.0,29.781,12.287221,-10.0,9.7,-10.0,0.0,1.871652202205241E-5,0.0,true
7,46005,85123.2079,0.0158,-5.715,3,15.6697,13,6,1,5,,,,6,0,6,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"6,1,5-6,0,6",true,,0.0,0.0,1,3.9485304892009147E-4,,0.28281462,-10.0,5.8,-10.0,0.0013115532259543336,,0.0,0.0,0.0,,0.0,-10.0,28.9,12.287221,-10.0,9.7,-10.0,0.0,1.980919481536784E-4,0.0,true
8,46005,87926.8627,0.0218,-6.4101,3,0.0,3,1,1,1,,,,0,0,0,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"1,1,1-0,0,0",true,,0.0,0.0,1,7.241399745197108E-4,,0.28281462,-10.0,5.8,-10.0,0.0024052482745045086,,0.0,0.0,0.0,,0.0,-10.0,27.978,12.287221,-10.0,9.7,-10.0,0.0,3.6452841729314365E-4,0.0,true
9,46005,98776.1988,0.0246,-5.9802,3,49.9937,23,11,1,10,,,,10,2,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"11,1,10-10,2,9",true,,0.0,0.0,1,1.2781326658271905E-6,,0.28281462,-10.0,5.8,-10.0,4.245626856602083E-6,,0.0,0.0,0.0,,0.0,-10.0,24.905,12.287221,-10.0,9.7,-10.0,0.0,6.523179732530544E-7,0.0,true
10,46005,99386.0089,0.0372,-6.5988,3,13.037,9,4,2,2,,,,5,1,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"4,2,2-5,1,5",true,,0.0,0.0,1,6.137359457311052E-5,,0.28281462,-10.0,5.8,-10.0,2.0386611333775983E-4,,0.0,0.0,0.0,,0.0,-10.0,24.752,12.287221,-10.0,9.7,-10.0,0.0,3.134918788538058E-5,0.0,true
11,46005,100471.137,0.0197,-5.5238,3,26.7741,17,8,1,7,,,,8,0,8,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"8,1,7-8,0,8",true,,0.0,0.0,1,1.0007277065649249E-4,,0.28281462,-10.0,5.8,-10.0,3.3241288769136147E-4,,0.0,0.0,0.0,,0.0,-10.0,24.485,12.287221,-10.0,9.7,-10.0,0.0,5.1192172417369275E-5,0.0,true
12,46005,100812.0913,0.0422,-6.7104,3,9.9768,7,3,2,2,,,,4,1,3,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"3,2,2-4,1,3",true,,0.0,0.0,1,7.22346300283812E-5,,0.28281462,-10.0,5.8,-10.0,2.39943227234849E-4,,0.0,0.0,0.0,,0.0,-10.0,24.402,12.287221,-10.0,9.7,-10.0,0.0,3.696864294078197E-5,0.0,true
