Index,tag,Frequency,err,LgInt,dr,ELO,gup,qn1,qn2,qn3,qn4,qn5,qn6,qnn1,qnn2,qnn3,qnn4,qnn5,qnn6,Formula,qnfmt,qlog300,qlog225,qlog150,qlog75,qlog37,qlog18,qlog9,Transition,CHECK,Source,delta x,delta y,C,Area,delta Area,Width,delta Width,Velocity,delta Velocity,Intensity,delta Intensity,Continuum,delta Continuum,Cont.Size,Fraction,SourceSize,delta SourceSize,Telescope,N/EM,delta N/EM,Tex/Te,delta Tex/Te,Tbg,tau/taul,delta tau/taul,Filtered
1,52008,96214.8127,0.0211,-2.5996,2,14.4424,21,10,,,,,,9,,,,,,CCCO,101,3.1132,2.9888,2.8129,2.5121,2.2115,1.9114,1.6121,10-9,true,,0.0,0.0,1,0.0070209422908084455,,0.28281462,-10.0,5.8,-10.0,0.023300314720419362,,0.0,0.0,0.0,,0.0,-10.0,25.568,11.378034,-10.0,7.7,-10.0,0.0,0.005103054245769982,0.0,true
2,46005,78927.4431,0.0174,-6.0641,3,13.037,13,6,0,6,,,,5,1,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"6,0,6-5,1,5",true,,0.0,0.0,1,3.362921637383446E-4,,0.28281462,-10.0,5.8,-10.0,0.0011170280287964706,,0.0,0.0,0.0,,0.0,-10.0,31.168,12.501658,-10.0,7.7,-10.0,0.0,2.376869982265055E-4,0.0,true
3,46005,79408.6981,0.0154,-5.8207,3,11.2078,11,5,1,4,,,,5,0,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,1,4-5,0,5",true,,0.0,0.0,1,8.15045228124625E-4,,0.28281462,-10.0,5.8,-10.0,0.00270708876774266,,0.0,0.0,0.0,,0.0,-10.0,30.98,12.501658,-10.0,7.7,-10.0,0.0,5.7651226148605E-4,0.0,true
4,46005,79543.3352,0.0403,-6.3711,3,134.8691,33,16,4,12,,,,17,3,15,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"16,4,12-17,3,15",true,,0.0,0.0,1,3.8266616506061453E-14,,0.28281462,-10.0,5.8,-10.0,1.272147437648184E-13,,0.0,0.0,0.0,,0.0,-10.0,30.927,12.501658,-10.0,7.7,-10.0,0.0,2.705909353763534E-14,0.0,false
5,46005,81135.9166,0.0361,-6.2477,3,110.0498,33,16,2,14,,,,15,3,13,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"16,2,14-15,3,13",true,,0.0,0.0,1,4.538372455059214E-12,,0.28281462,-10.0,5.8,-10.0,1.5075419114409218E-11,,0.0,0.0,0.0,,0.0,-10.0,30.32,12.501658,-10.0,7.7,-10.0,0.0,3.2173922103155093E-12,0.0,false
6,46005,82605.6251,0.0337,-6.6496,3,17.3624,11,5,2,3,,,,6,1,6,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,2,3-6,1,6",true,,0.0,0.0,1,3.739197631516152E-5,,0.28281462,-10.0,5.8,-10.0,1.2420591480156402E-4,,0.0,0.0,0.0,,0.0,-10.0,29.781,12.501658,-10.0,7.7,-10.0,0.0,2.6564667688106893E-5,0.0,true
7,46005,85123.2079,0.0158,-5.715,3,15.6697,13,6,1,5,,,,6,0,6,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"6,1,5-6,0,6",true,,0.0,0.0,1,4.202459695031464E-4,,0.28281462,-10.0,5.8,-10.0,0.0013958733767344895,,0.0,0.0,0.0,,0.0,-10.0,28.9,12.501658,-10.0,7.7,-10.0,0.0,2.9969098649477625E-4,0.0,true
8,46005,87926.8627,0.0218,-6.4101,3,0.0,3,1,1,1,,,,0,0,0,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"1,1,1-0,0,0",true,,0.0,0.0,1,0.0014058772113733477,,0.28281462,-10.0,5.8,-10.0,0.004669113827334448,,0.0,0.0,0.0,,0.0,-10.0,27.978,12.501658,-10.0,7.7,-10.0,0.0,0.0010070625487550078,0.0,true
9,46005,98776.1988,0.0246,-5.9802,3,49.9937,23,11,1,10,,,,10,2,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"11,1,10-10,2,9",true,,0.0,0.0,1,3.5827445834804374E-7,,0.28281462,-10.0,5.8,-10.0,1.1900953714240385E-6,,0.0,0.0,0.0,,0.0,-10.0,24.905,12.501658,-10.0,7.7,-10.0,0.0,2.6110553358428506E-7,0.0,false
10,46005,99386.0089,0.0372,-6.5988,3,13.037,9,4,2,2,,,,5,1,5,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"4,2,2-5,1,5",true,,0.0,0.0,1,7.140356631655937E-5,,0.28281462,-10.0,5.8,-10.0,2.3718201923449944E-4,,0.0,0.0,0.0,,0.0,-10.0,24.752,12.501658,-10.0,7.7,-10.0,0.0,5.209305651846528E-5,0.0,true
11,46005,100471.137,0.0197,-5.5238,3,26.7741,17,8,1,7,,,,8,0,8,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"8,1,7-8,0,8",true,,0.0,0.0,1,6.851705874699591E-5,,0.28281462,-10.0,5.8,-10.0,2.275939575802945E-4,,0.0,0.0,0.0,,0.0,-10.0,24.485,12.501658,-10.0,7.7,-10.0,0.0,5.008062247245648E-5,0.0,true
12,46005,100812.0913,0.0422,-6.7104,3,9.9768,7,3,2,2,,,,4,1,3,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"3,2,2-4,1,3",true,,0.0,0.0,1,9.443515111577838E-5,,0.28281462,-10.0,5.8,-10.0,3.1368533011453354E-4,,0.0,0.0,0.0,,0.0,-10.0,24.402,12.501658,-10.0,7.7,-10.0,0.0,6.906593038848993E-5,0.0,true
13,46005,110340.07,0.05,-5.436,3,33.4039,19,9,1,8,,,,9,0,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"9,1,8-9,0,9",true,,0.0,0.0,1,2.184911193340944E-5,,0.28281462,-10.0,5.8,-10.0,7.257690679662976E-5,,0.0,0.0,0.0,,0.0,-10.0,22.295,12.501658,-10.0,7.7,-10.0,0.0,1.625677802780735E-5,0.0,true
14,46005,110413.5994,0.0343,-6.1875,3,49.9937,19,9,3,6,,,,10,2,9,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"9,3,6-10,2,9",true,,0.0,0.0,1,1.8872948559700254E-7,,0.28281462,-10.0,5.8,-10.0,6.269107011596667E-7,,0.0,0.0,0.0,,0.0,-10.0,22.28,12.501658,-10.0,7.7,-10.0,0.0,1.4044238769087092E-7,0.0,false
15,46005,112891.41,0.05,-4.1449,3,16.3522,11,5,2,3,,,,4,2,2,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"5,2,3-4,2,2",true,,0.0,0.0,1,0.00917837778115775,,0.28281462,-10.0,5.8,-10.0,0.030450431039898678,,0.0,0.0,0.0,,0.0,-10.0,21.791,12.501658,-10.0,7.7,-10.0,0.0,0.006877340348286384,0.0,true
16,46005,114198.63,0.05,-5.9343,3,122.0836,35,17,2,15,,,,16,3,14,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"17,2,15-16,3,14",true,,0.0,0.0,1,6.411757384885165E-13,,0.28281462,-10.0,5.8,-10.0,2.130446006827161E-12,,0.0,0.0,0.0,,0.0,-10.0,21.542,12.501658,-10.0,7.7,-10.0,0.0,4.807529513959692E-13,0.0,false
17,46005,146261.2621,0.0525,-5.4489,3,67.6352,27,13,1,12,,,,13,1,13,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"13,1,12-13,1,13",true,,0.0,0.0,1,2.651232253899819E-8,,0.28281462,-10.0,5.8,-10.0,8.806710303515888E-8,,0.0,0.0,0.0,,0.0,-10.0,16.82,12.501658,-10.0,7.7,-10.0,0.0,2.1296190201693092E-8,0.0,false
18,46005,146699.995,0.0479,-6.07,3,36.0058,15,7,3,5,,,,8,2,6,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"7,3,5-8,2,6",true,,0.0,0.0,1,1.999225184104335E-6,,0.28281462,-10.0,5.8,-10.0,6.64090895818989E-6,,0.0,0.0,0.0,,0.0,-10.0,16.769,12.501658,-10.0,7.7,-10.0,0.0,1.6075658355779064E-6,0.0,true
19,46005,147022.6459,0.0583,-5.887,3,98.7686,27,13,4,9,,,,14,3,12,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"13,4,9-14,3,12",true,,0.0,0.0,1,3.3106710539725976E-11,,0.28281462,-10.0,5.8,-10.0,1.0997192662901544E-10,,0.0,0.0,0.0,,0.0,-10.0,16.732,12.501658,-10.0,7.7,-10.0,0.0,2.6641367391916557E-11,0.0,false
20,46005,149766.9331,0.0366,-5.2006,3,57.5302,25,12,1,11,,,,12,0,12,,,,HCOOH,303,3.9486,3.7612,3.4971,3.0357,2.5949,2.1461,1.6984,"12,1,11-12,0,12",true,,0.0,0.0,1,2.8369741872775116E-7,,0.28281462,-10.0,5.8,-10.0,9.423696799334813E-7,,0.0,0.0,0.0,,0.0,-10.0,16.426,12.501658,-10.0,7.7,-10.0,0.0,2.29803365789012E-7,0.0,false
21,42002,79180.6683,1.5265,-5.9387,3,149.2827,123,20,1,19,,,,20,1,20,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"20,1,19-20,1,20",true,,0.0,0.0,1,2.83649033187489E-15,,0.5305475,0.09906512,5.8943605,0.04210114,4.700695741534326E-15,,0.0,0.0,0.0,,0.0,-1.0,31.069,11.923278,11.115583,7.706099,1.0114093,0.0,9.797947386757428E-16,3.364589637420166E-15,false
22,42002,80802.1368,0.0238,-4.5369,3,86.2468,27,4,3,2,,,,3,3,1,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,3,2-3,3,1",true,,0.0,0.0,1,6.100911998811157E-9,,0.5305475,0.09906512,5.8943605,0.04210114,1.080284854105449E-8,,0.0,0.0,0.0,,0.0,-1.0,30.445,11.923278,11.115583,7.706099,1.0114093,0.0,2.3015393953587087E-9,4.3615142662388635E-9,false
23,42002,80802.1383,0.0238,-4.5369,3,86.2468,27,4,3,1,,,,3,3,0,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,3,1-3,3,0",true,,0.0,0.0,1,6.100911604504567E-9,,0.5305475,0.09906512,5.8943605,0.04210114,1.0802848019943656E-8,,0.0,0.0,0.0,,0.0,-1.0,30.445,11.923278,11.115583,7.706099,1.0114093,0.0,2.3015393430566737E-9,4.361514155497173E-9,false
24,42002,80820.4798,0.0229,-4.6844,3,40.4586,9,4,2,3,,,,3,2,2,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,2,3-3,2,2",true,,0.0,0.0,1,1.799012113122608E-5,,0.5305475,0.09906512,5.8943605,0.04210114,3.185496128680384E-5,,0.0,0.0,0.0,,0.0,-1.0,30.438,11.923278,11.115583,7.706099,1.0114093,0.0,6.78687706310167E-6,5.442454176602157E-6,true
25,42002,80824.3813,0.0229,-4.6843,3,40.4587,9,4,2,2,,,,3,2,1,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,2,2-3,2,1",true,,0.0,0.0,1,1.799277380381012E-5,,0.5305475,0.09906512,5.8943605,0.04210114,3.185965834801693E-5,,0.0,0.0,0.0,,0.0,-1.0,30.437,11.923278,11.115583,7.706099,1.0114093,0.0,6.787915353033299E-6,5.443315586146117E-6,true
26,42002,80832.1893,0.0245,-4.4835,3,4.0446,9,4,0,4,,,,3,0,3,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,0,4-3,0,3",true,,0.0,0.0,1,0.021450373727576567,,0.5305475,0.09906512,5.8943605,0.04210114,0.037926541354689,,0.0,0.0,0.0,,0.0,-1.0,30.434,11.923278,11.115583,7.706099,1.0114093,0.0,0.008113392656601943,0.0025097879214557406,true
27,42002,81586.2995,0.0251,-4.0453,3,13.1678,27,4,1,3,,,,3,1,2,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"4,1,3-3,1,2",true,,0.0,0.0,1,0.01106721114622714,,0.5305475,0.09906512,5.8943605,0.04210114,0.019581862947112057,,0.0,0.0,0.0,,0.0,-1.0,30.153,11.923278,11.115583,7.706099,1.0114093,0.0,0.004185312137243926,0.001210270973723556,true
28,42002,87087.2492,2.0206,-5.9061,3,163.2993,129,21,1,20,,,,21,1,21,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"21,1,20-21,1,21",true,,0.0,0.0,1,Infinity,,0.5305475,0.09906512,5.8943605,0.04210114,5.163212957449437E-16,,0.0,0.0,0.0,,0.0,-1.0,28.248,11.923278,11.115583,7.706099,1.0114093,0.0,7.338161719539269E-17,2.852932397541807E-16,false
29,42002,95367.4362,2.6467,-5.8777,3,177.9829,135,22,1,21,,,,22,1,22,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"22,1,21-22,1,22",true,,0.0,0.0,1,,,0.5305475,0.09906512,5.8943605,0.04210114,0.0,,0.0,0.0,0.0,,0.0,-1.0,25.795,11.923278,11.115583,7.706099,1.0114093,0.0,4.8381575884807385E-18,,false
30,42002,100094.51,0.05,-3.7666,3,15.7634,33,5,1,5,,,,4,1,4,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"5,1,5-4,1,4",true,,0.0,0.0,1,0.009867636672914822,0.002056186848070887,0.5305475,0.09906512,5.8943605,0.04210114,0.01746046670898642,0.005058454900064318,0.0,0.0,0.0,,0.0,-1.0,24.577,11.923278,11.115583,7.706099,1.0114093,0.0,0.0038418629136069992,0.0012242639608274159,true
31,42002,104020.638,3.4365,-5.8533,3,193.3335,141,23,1,22,,,,23,1,23,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"23,1,22-23,1,23",true,,0.0,0.0,1,,,0.5305475,0.09906512,5.8943605,0.04210114,0.0,,0.0,0.0,0.0,,0.0,-1.0,23.65,11.923278,11.115583,7.706099,1.0114093,0.0,2.808424662949947E-19,,false
32,42002,113046.1938,4.4274,-5.8326,3,209.3512,147,24,1,23,,,,24,1,24,,,,CH2CO,303,4.0138,3.8218,3.5358,3.1092,2.66,2.1965,1.6774,"24,1,23-24,1,24",true,,0.0,0.0,1,,,0.5305475,0.09906512,5.8943605,0.04210114,0.0,,0.0,0.0,0.0,,0.0,-1.0,21.761,11.923278,11.115583,7.706099,1.0114093,0.0,1.4358143071827835E-20,,false
33,60003,78175.7177,0.0108,-7.3591,3,583.6996,166,41,15,26,5,,,40,16,24,5,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"41,15,26,5-40,16,24,5",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.468,11.944065,-10.0,7.7,-10.0,0.0,4.001742435281781E-51,0.0,false
34,60003,78176.013,0.03,-7.2689,3,140.3541,26,6,3,3,5,,,6,2,5,4,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"6,3,3,5-6,2,5,4",true,,0.0,0.0,1,9.05021328135498E-16,,0.28281462,-10.0,5.8,-10.0,2.6118111461307602E-15,,0.0,0.0,0.0,,0.0,-10.0,31.468,11.944065,-10.0,7.7,-10.0,0.0,5.562360461393404E-16,0.0,false
35,60003,78179.3895,0.0091,-7.9683,3,342.8731,158,39,6,33,0,,,40,5,36,0,,,CH3OCHO,1404,5.3002,5.0832,4.7714,4.2442,3.7613,3.3077,2.8578,"39,6,33,0-40,5,36,0",true,,0.0,0.0,1,,,0.28281462,-10.0,5.8,-10.0,0.0,,0.0,0.0,0.0,,0.0,-10.0,31.467,11.944065,-10.0,7.7,-10.0,0.0,1.080957393775683E-32,0.0,false
