spectrum,channels,min. frequency (MHz),max. frequency (MHz),rms noise (mK),resolution (MHz)
L1517B-L94-LO,37947,78164.2621,80017.0696,4.5825274241126825,0.0488261915743
L1517B-CH3OH21-LO,37124,80105.2567,81917.9785,11.319219889624364,0.048828125
L1517B-L94-LI,37947,81444.1322,83296.9397,4.347150366587974,0.0488261915743
L1517B-CH3OH21-LI,37124,83385.1279,85197.8498,10.139549964390266,0.048828125
L1517B-L84-LO,37946,83393.6424,85246.4001,3.199725884980971,0.0488261654973
L1517B-L84-LI,37946,86673.5077,88526.3142,2.908998594033232,0.0488261654973
L1517B-CH3CN-LO,37124,93520.2315,95332.9562,8.217696752211696,0.048828125
L1517B-L94-UI,37946,93843.6413,95696.4,5.028949065211704,0.0488261915743
L1517B-CH3OH21-UI,37124,95784.641,97597.3629,10.473266053736916,0.048828125
L1517B-CH3CN-LI,37124,96800.1079,98612.8326,7.261140741978609,0.048828125
L1517B-L94-UO,37946,97123.5078,98976.2665,5.527094549432135,0.0488261915743
L1517B-CH3OH21-UO,37124,99064.5123,100877.234,11.84798538655327,0.048828125
L1517B-L84-UI,37946,99072.9947,100925.801,3.3458675616914033,0.0488261654973
L1517B-L84-UO,37946,102352.859,104205.665,3.8581851484765215,0.0488261654973
L1517B-CH3CN-UI,37124,109199.64,111012.364,9.930504629178499,0.048828125
L1517B-CH3CN-UO,37124,112479.516,114292.241,14.685106084827506,0.048828125
L1517B-H2CO21-UI,36952,145508.34,147312.664,35.50025612446415,0.048828125
L1517B-H2CO21-UO,36952,148788.211,150592.535,39.07236645672539,0.048828125
