spectrum,channels,min. frequency (MHz),max. frequency (MHz),rms noise (mK),resolution (MHz)
L1517BOFF1-L94-LO,37947,78164.2596,80017.0674,3.8022444111029166,0.0488261990249
L1517BOFF1-CH3OH21-LO,37124,80105.2547,81917.9768,11.050997939033966,0.048828125
L1517BOFF1-L94-LI,37947,81444.1302,83296.938,3.5629514941499907,0.0488261990249
L1517BOFF1-CH3OH21-LI,37124,83385.1264,85197.8485,10.05612735285848,0.048828125
L1517BOFF1-L84-LO,37945,83393.6421,85246.3999,3.979782526067526,0.048826169222600004
L1517BOFF1-L84-LI,37945,86673.5107,88526.2685,3.4371133619859138,0.048826169222600004
L1517BOFF1-CH3CN-LO,37124,93520.2278,95332.9528,8.662849025441673,0.048828125
L1517BOFF1-L94-UI,37945,93843.6413,95696.4002,4.326955538386047,0.0488261990249
L1517BOFF1-CH3OH21-UI,37124,95784.6409,97597.363,10.932250450124622,0.048828125
L1517BOFF1-CH3CN-LI,37124,96800.1048,98612.8299,7.780792888097249,0.048828125
L1517BOFF1-L94-UO,37946,97123.507,98976.266,4.620240132532488,0.0488261990249
L1517BOFF1-CH3OH21-UO,37124,99064.5126,100877.235,12.422417019228236,0.048828125
L1517BOFF1-L84-UI,37947,99073.0139,100925.822,3.829765937105167,0.0488262027502
L1517BOFF1-L84-UO,37947,102352.882,104205.69,4.526175249303487,0.0488262027502
L1517BOFF1-CH3CN-UI,37124,109199.639,111012.364,10.690669999019383,0.048828125
L1517BOFF1-CH3CN-UO,37124,112479.516,114292.241,16.197698004121147,0.048828125
